Encoder Times,Decoder Times,Key Generation Times
0.000242,0.062526,0.746588
0.000561,0.122470,0.746588
0.000470,0.149249,0.746588
0.000661,0.230330,0.746588
0.000770,0.165877,0.746588
0.000922,0.220666,0.746588
0.001071,0.226733,0.746588
0.001304,0.257101,0.746588
0.001375,0.332686,0.746588
0.001528,0.454516,0.746588
0.001659,0.363319,0.746588
0.001884,0.519754,0.746588
0.001935,0.416749,0.746588
0.002277,0.440772,0.746588
0.002230,0.475811,0.746588
0.002413,0.499087,0.746588
0.002534,0.588483,0.746588
0.002718,0.745070,0.746588
0.002836,0.601932,0.746588
0.003011,0.791387,0.746588
0.003156,0.752192,0.746588
0.003424,0.799938,0.746588
0.003721,0.869397,0.746588
0.004243,1.180425,0.746588
0.003948,0.965752,0.746588
0.003907,0.951071,0.746588
0.004034,0.864383,0.746588
0.004220,1.049583,0.746588
0.004363,1.017573,0.746588
0.004685,1.475515,0.746588
0.005138,1.147803,0.746588
0.005054,1.229684,0.746588
0.004959,1.171346,0.746588
0.005149,1.373000,0.746588
0.005325,1.293180,0.746588
0.005375,1.180924,0.746588
0.005650,1.172036,0.746588
0.005728,1.258558,0.746588
0.005959,1.242171,0.746588
0.006641,1.260517,0.746588
0.006202,1.371930,0.746588
0.006282,1.350299,0.746588
0.006393,1.463055,0.746588
0.006746,1.424777,0.746588
0.006760,1.637115,0.746588
0.006996,1.565705,0.746588
0.007189,1.727353,0.746588
0.007274,1.907373,0.746588
0.009567,2.174185,0.746588
0.009131,2.167549,0.746588
0.009603,2.470693,0.746588
0.009419,2.479502,0.746588
0.010272,2.462168,0.746588
0.010669,2.533978,0.746588
0.010159,2.583863,0.746588
0.010242,3.258370,0.746588
0.010477,3.137956,0.746588
0.011343,3.188917,0.746588
0.011589,2.924032,0.746588
0.011249,3.102828,0.746588
0.013557,3.144034,0.746588
0.011806,2.752204,0.746588
0.012233,3.505941,0.746588
0.012248,2.898782,0.746588
0.012980,3.163211,0.746588
0.012224,3.284728,0.746588
0.012344,3.534186,0.746588
0.013063,3.445126,0.746588
0.011919,3.450071,0.746588
0.013348,3.349313,0.746588
0.012196,3.372261,0.746588
0.012844,3.191375,0.746588
0.014288,3.373257,0.746588
0.015036,3.609594,0.746588
0.014107,3.534170,0.746588
0.013416,4.513508,0.746588
0.014396,3.400032,0.746588
0.014065,3.726121,0.746588
0.015237,3.496934,0.746588
0.015195,3.737637,0.746588
0.014964,3.944555,0.746588
0.016075,3.573695,0.746588
0.015013,3.641619,0.746588
0.015395,3.613235,0.746588
0.015153,3.695993,0.746588
0.015886,3.806488,0.746588
0.015954,3.946394,0.746588
0.017349,4.349450,0.746588
0.016277,3.943890,0.746588
0.015877,4.825668,0.746588
0.018713,4.870318,0.746588
0.018117,4.272140,0.746588
0.018592,4.303010,0.746588
0.017251,5.340555,0.746588
0.017165,5.542177,0.746588
0.021307,4.681092,0.746588
0.017923,5.399248,0.746588
0.017780,4.294404,0.746588
0.018065,4.213404,0.746588
0.018372,4.192036,0.746588
