Encoder Times,Decoder Times,Key Generation Times
0.000264,0.018969,0.290534
0.000535,0.033335,0.290534
0.000476,0.062123,0.290534
0.000650,0.081226,0.290534
0.000771,0.308587,0.290534
0.000943,0.100690,0.290534
0.001075,0.123866,0.290534
0.001216,0.161546,0.290534
0.001363,0.158447,0.290534
0.001530,0.168778,0.290534
0.001665,0.194762,0.290534
0.001872,0.219587,0.290534
0.002061,0.213408,0.290534
0.002109,0.229534,0.290534
0.002230,0.264996,0.290534
0.002416,0.273451,0.290534
0.002572,0.296886,0.290534
0.002705,0.299272,0.290534
0.002961,0.313465,0.290534
0.002978,0.345252,0.290534
0.003166,0.363680,0.290534
0.003345,0.396345,0.290534
0.003468,0.365600,0.290534
0.003574,0.427622,0.290534
0.003814,0.435507,0.290534
0.003921,0.508631,0.290534
0.004121,0.495307,0.290534
0.004307,0.475959,0.290534
0.004333,0.488913,0.290534
0.004448,0.493881,0.290534
0.004686,0.501255,0.290534
0.004765,0.547906,0.290534
0.004934,0.530743,0.290534
0.005064,0.585910,0.290534
0.005212,0.597613,0.290534
0.005414,0.587311,0.290534
0.005620,0.614600,0.290534
0.005801,0.624318,0.290534
0.006983,0.651024,0.290534
0.005979,0.671649,0.290534
0.006183,0.670742,0.290534
0.006327,0.706998,0.290534
0.006481,0.724897,0.290534
0.006525,0.804736,0.290534
0.007658,0.744532,0.290534
0.007026,0.773455,0.290534
0.007182,0.774854,0.290534
0.007343,0.806683,0.290534
0.007344,1.003367,0.290534
0.009495,1.074271,0.290534
0.009547,1.058118,0.290534
0.009544,1.067017,0.290534
0.009998,1.443143,0.290534
0.010026,1.414043,0.290534
0.012457,1.458268,0.290534
0.012621,1.628026,0.290534
0.011069,1.247520,0.290534
0.011001,1.215212,0.290534
0.010934,1.262771,0.290534
0.011354,1.314200,0.290534
0.011072,1.282030,0.290534
0.011148,1.771146,0.290534
0.011840,1.394801,0.290534
0.012289,1.319179,0.290534
0.011684,1.434101,0.290534
0.012186,1.496400,0.290534
0.012085,1.469543,0.290534
0.013858,1.501501,0.290534
0.013027,1.433707,0.290534
0.012648,1.492323,0.290534
0.013055,1.425996,0.290534
0.013026,1.479051,0.290534
0.013048,1.484179,0.290534
0.013556,1.686205,0.290534
0.013051,1.528574,0.290534
0.013973,1.594433,0.290534
0.014878,1.564998,0.290534
0.013962,1.532422,0.290534
0.014113,1.609051,0.290534
0.014549,1.602818,0.290534
0.014487,1.834230,0.290534
0.014656,1.897786,0.290534
0.014749,1.777798,0.290534
0.015778,1.898018,0.290534
0.015972,1.774377,0.290534
0.015943,1.750926,0.290534
0.015170,1.795091,0.290534
0.015669,1.775788,0.290534
0.016840,1.775687,0.290534
0.016214,1.822313,0.290534
0.016351,1.862044,0.290534
0.016381,1.930915,0.290534
0.018637,1.914653,0.290534
0.016471,1.902794,0.290534
0.017199,1.985039,0.290534
0.017766,2.059312,0.290534
0.019220,2.109502,0.290534
0.018016,2.792030,0.290534
0.024198,2.805583,0.290534
0.018014,2.460521,0.290534
