Encoder Times,Decoder Times,Key Generation Times
0.000034,0.015447,0.067287
0.000102,0.036937,0.067287
0.000042,0.053418,0.067287
0.000049,0.069779,0.067287
0.000050,0.082957,0.067287
0.000065,0.100070,0.067287
0.000054,0.114571,0.067287
0.000070,0.135298,0.067287
0.000063,0.183534,0.067287
0.000091,0.173009,0.067287
0.000058,0.178424,0.067287
0.000080,0.220245,0.067287
0.001859,0.230399,0.067287
0.000081,0.238125,0.067287
0.000079,0.264552,0.067287
0.000090,0.304953,0.067287
0.000126,0.319650,0.067287
0.000691,0.342742,0.067287
0.000106,0.328604,0.067287
0.000125,0.324551,0.067287
0.000131,0.366035,0.067287
0.000111,0.414266,0.067287
0.000143,0.500722,0.067287
0.000118,0.528785,0.067287
0.008322,0.529159,0.067287
0.000432,0.483863,0.067287
0.046820,0.544492,0.067287
0.000128,0.635388,0.067287
0.003331,0.820513,0.067287
0.000181,0.855362,0.067287
0.000186,1.009320,0.067287
0.000212,1.069717,0.067287
0.009915,0.953621,0.067287
0.003008,0.827091,0.067287
0.049532,0.949146,0.067287
0.012189,0.812549,0.067287
0.000159,0.818707,0.067287
0.000187,0.951410,0.067287
0.001751,1.000251,0.067287
0.009466,0.925933,0.067287
0.003654,1.291757,0.067287
0.009469,0.932688,0.067287
0.000589,1.016312,0.067287
0.000191,0.918340,0.067287
0.016967,0.892267,0.067287
0.000207,0.856988,0.067287
0.000209,0.908717,0.067287
0.000219,0.928834,0.067287
0.000210,0.960258,0.067287
0.000215,0.970023,0.067287
0.000204,0.964810,0.067287
0.000215,1.001914,0.067287
0.000242,1.028165,0.067287
0.000227,1.136441,0.067287
0.000256,1.041773,0.067287
0.000231,1.044031,0.067287
0.000230,1.115164,0.067287
0.000239,1.105418,0.067287
0.001183,1.175292,0.067287
0.009955,1.176269,0.067287
0.000239,1.188153,0.067287
0.000279,1.215202,0.067287
0.000294,1.245498,0.067287
0.000259,1.241060,0.067287
0.000274,1.233954,0.067287
0.000256,1.449082,0.067287
0.000266,1.397504,0.067287
0.000264,1.280513,0.067287
0.000249,1.350238,0.067287
0.000446,1.363755,0.067287
0.014903,1.412736,0.067287
0.000423,1.438406,0.067287
0.000275,1.424243,0.067287
0.000313,1.448821,0.067287
0.000321,1.413970,0.067287
0.000308,1.440781,0.067287
0.000294,1.451286,0.067287
0.014110,1.489618,0.067287
0.000283,1.573708,0.067287
0.000846,1.560440,0.067287
0.000382,1.558711,0.067287
0.000374,1.594075,0.067287
0.000322,1.663836,0.067287
0.000335,1.895841,0.067287
0.005401,1.747935,0.067287
0.000323,1.881698,0.067287
0.000342,1.637870,0.067287
0.000348,1.692336,0.067287
0.000379,1.875506,0.067287
0.004696,2.025596,0.067287
0.000365,2.218461,0.067287
0.000391,2.415690,0.067287
0.004611,2.079271,0.067287
0.018170,1.862675,0.067287
0.000363,1.844343,0.067287
0.000353,1.860284,0.067287
0.000387,1.928404,0.067287
0.018641,1.936859,0.067287
0.000554,1.918592,0.067287
0.000355,1.920362,0.067287
