Encoder Times,Decoder Times,Key Generation Times
0.000225,0.037617,0.171174
0.000605,0.032669,0.171174
0.000724,0.085603,0.171174
0.000614,0.111659,0.171174
0.000757,0.116435,0.171174
0.000929,0.143810,0.171174
0.001163,0.175581,0.171174
0.001217,0.231400,0.171174
0.001337,0.247091,0.171174
0.001581,0.238806,0.171174
0.001675,0.274363,0.171174
0.001829,0.312726,0.171174
0.001991,0.299510,0.171174
0.002105,0.327800,0.171174
0.002230,0.391555,0.171174
0.002627,0.512963,0.171174
0.002885,0.409052,0.171174
0.002763,0.416386,0.171174
0.002924,0.742786,0.171174
0.003100,0.638915,0.171174
0.003512,0.507206,0.171174
0.003430,0.822321,0.171174
0.003511,0.798008,0.171174
0.003590,0.646594,0.171174
0.003955,0.585610,0.171174
0.004342,0.663198,0.171174
0.004403,0.722196,0.171174
0.004277,0.752888,0.171174
0.004459,0.784719,0.171174
0.004587,0.810260,0.171174
0.005096,1.102236,0.171174
0.006318,1.072021,0.171174
0.006143,1.108994,0.171174
0.006312,1.216714,0.171174
0.006628,1.268323,0.171174
0.006765,1.234028,0.171174
0.006893,1.398548,0.171174
0.007028,1.431378,0.171174
0.007418,1.450074,0.171174
0.007154,1.196157,0.171174
0.008334,1.654701,0.171174
0.007990,1.387472,0.171174
0.007753,1.237978,0.171174
0.008081,1.280302,0.171174
0.008254,1.383063,0.171174
0.008170,1.389056,0.171174
0.008375,1.501744,0.171174
0.008523,1.417245,0.171174
0.008733,1.472124,0.171174
0.008979,1.460797,0.171174
0.009336,1.559225,0.171174
0.009405,1.515951,0.171174
0.009639,1.649806,0.171174
0.009559,1.716947,0.171174
0.011893,1.648849,0.171174
0.010058,1.810314,0.171174
0.010428,1.607999,0.171174
0.009909,1.666113,0.171174
0.010181,1.948659,0.171174
0.011100,1.774903,0.171174
0.011183,1.795388,0.171174
0.011154,1.773792,0.171174
0.011509,1.916965,0.171174
0.011495,1.890903,0.171174
0.011693,2.366748,0.171174
0.011464,2.184053,0.171174
0.012391,2.803547,0.171174
0.012845,2.624882,0.171174
0.012299,2.827010,0.171174
0.013280,2.384334,0.171174
0.013323,2.534960,0.171174
0.014320,2.241386,0.171174
0.012744,2.599943,0.171174
0.014860,2.409753,0.171174
0.013899,2.394633,0.171174
0.013439,2.166943,0.171174
0.014481,2.420659,0.171174
0.014397,2.801168,0.171174
0.014062,2.563361,0.171174
0.014023,2.418208,0.171174
0.014122,2.538400,0.171174
0.014325,2.870906,0.171174
0.015558,3.255853,0.171174
0.015452,2.904637,0.171174
0.015105,2.599995,0.171174
0.017304,2.432150,0.171174
0.016001,2.550455,0.171174
0.016191,2.665768,0.171174
0.016045,3.495761,0.171174
0.016812,3.431170,0.171174
0.018394,3.427322,0.171174
0.017401,2.898927,0.171174
0.016878,2.991169,0.171174
0.017145,3.756158,0.171174
0.018358,4.935657,0.171174
0.024751,3.821435,0.171174
0.018471,3.470411,0.171174
0.017816,3.725306,0.171174
0.019847,6.306423,0.171174
0.020603,4.199839,0.171174
