Encoder Times,Decoder Times,Key Generation Times
0.000024,0.021619,0.038176
0.000015,0.043779,0.038176
0.000041,0.073582,0.038176
0.000028,0.090155,0.038176
0.000039,0.105605,0.038176
0.000027,0.131852,0.038176
0.000212,0.154268,0.038176
0.000040,0.144107,0.038176
0.000043,0.188877,0.038176
0.000047,0.199668,0.038176
0.000048,0.229422,0.038176
0.000041,0.251194,0.038176
0.000049,0.256302,0.038176
0.000060,0.268993,0.038176
0.000064,0.313839,0.038176
0.000048,0.328395,0.038176
0.000064,0.356634,0.038176
0.000070,0.364379,0.038176
0.000055,0.399625,0.038176
0.000056,0.400955,0.038176
0.000085,0.432561,0.038176
0.000067,0.451648,0.038176
0.000065,0.463275,0.038176
0.000073,0.470530,0.038176
0.000075,0.511095,0.038176
0.000083,0.547536,0.038176
0.000080,0.526946,0.038176
0.000091,0.561720,0.038176
0.000089,0.587301,0.038176
0.000085,0.613106,0.038176
0.000096,0.654844,0.038176
0.000079,0.670392,0.038176
0.000093,0.687057,0.038176
0.000090,0.721116,0.038176
0.000094,0.741943,0.038176
0.000099,0.738325,0.038176
0.000084,0.762220,0.038176
0.000098,0.805251,0.038176
0.000083,0.790454,0.038176
0.000094,0.843245,0.038176
0.000109,0.791393,0.038176
0.000107,0.878524,0.038176
0.000119,0.842631,0.038176
0.000099,0.881468,0.038176
0.000101,0.932168,0.038176
0.000100,0.960285,0.038176
0.000098,0.974111,0.038176
0.000109,0.994099,0.038176
0.000110,1.034249,0.038176
0.000126,1.012714,0.038176
0.000108,1.046072,0.038176
0.000135,1.082943,0.038176
0.000111,1.082950,0.038176
0.000132,1.257727,0.038176
0.000123,1.277844,0.038176
0.000137,1.293398,0.038176
0.000132,1.318547,0.038176
0.000166,1.328219,0.038176
0.000154,1.394844,0.038176
0.000154,1.353774,0.038176
0.000150,1.426012,0.038176
0.000133,1.412614,0.038176
0.000160,1.456607,0.038176
0.000162,1.503117,0.038176
0.000183,1.513696,0.038176
0.000146,1.567551,0.038176
0.000143,1.509284,0.038176
0.000180,1.629292,0.038176
0.000176,1.611306,0.038176
0.000165,1.601315,0.038176
0.000153,1.583841,0.038176
0.000177,1.665807,0.038176
0.000147,1.677605,0.038176
0.000182,1.692763,0.038176
0.000153,1.680702,0.038176
0.000190,1.755777,0.038176
0.000235,1.958852,0.038176
0.000186,1.921416,0.038176
0.000170,1.881923,0.038176
0.000197,1.840264,0.038176
0.000175,1.878858,0.038176
0.000184,1.861578,0.038176
0.000201,1.931317,0.038176
0.000190,1.974784,0.038176
0.000187,2.045860,0.038176
0.000196,1.991367,0.038176
0.000221,2.013004,0.038176
0.000185,2.051142,0.038176
0.000230,2.189168,0.038176
0.000241,2.115238,0.038176
0.000187,2.072126,0.038176
0.000221,2.125023,0.038176
0.000278,2.164435,0.038176
0.000261,2.155963,0.038176
0.000226,2.185798,0.038176
0.000214,2.204424,0.038176
0.000230,2.251311,0.038176
0.000333,2.245977,0.038176
0.000231,2.315684,0.038176
0.000235,2.267281,0.038176
